match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp,match_time_seconds,damage_differential,damage_ratio,ko_differential,damage_per_minute,damage_taken_per_minute,gsp_change,match_intensity
66,lucas,banjo & kazooie,1,3,1,0,4:34,388,226,12883893,274,162,1.7168141592920354,2,84.96350364963504,49.48905109489051,416343.0,0.014598540145985401
67,lucas,pacman,1,3,1,0,4:17,324,231,13236438,257,93,1.4025974025974026,2,75.6420233463035,53.929961089494164,352545.0,0.01556420233463035
68,lucas,sephiroth,1,3,2,0,4:23,206,319,13637266,263,-113,0.64576802507837,1,46.99619771863117,72.77566539923954,400828.0,0.019011406844106463
69,lucas,ganondorf,1,2,1,0,3:12,219,170,13972047,192,49,1.2882352941176471,1,68.4375,53.125,334781.0,0.015625
70,lucas,marth,1,3,1,0,4:30,368,232,14066914,270,136,1.5862068965517242,2,81.77777777777777,51.55555555555556,94867.0,0.014814814814814815
71,lucas,mario,1,3,1,0,4:02,240,266,14364563,242,-26,0.9022556390977443,2,59.50413223140496,65.9504132231405,297649.0,0.01652892561983471
72,lucas,yoshi,1,3,2,0,5:53,436,390,14608228,353,46,1.117948717948718,1,74.10764872521246,66.28895184135978,243665.0,0.014164305949008499
73,lucas,ganondorf,0,2,3,0,5:29,316,429,14307312,329,-113,0.7365967365967366,-1,57.62917933130699,78.2370820668693,-300916.0,0.015197568389057751
74,lucas,ness,0,0,3,0,4:27,267,372,14003956,267,-105,0.717741935483871,-3,60.0,83.59550561797752,-303356.0,0.011235955056179775
75,lucas,duck hunt,1,3,2,0,5:32,419,338,14307312,332,81,1.2396449704142012,1,75.72289156626506,61.08433734939759,303356.0,0.015060240963855422
76,lucas,mario,0,1,3,0,4:09,227,303,13972047,249,-76,0.7491749174917491,-2,54.69879518072289,73.01204819277108,-335265.0,0.01606425702811245
77,lucas,lucina,1,3,2,0,4:50,242,373,14278261,290,-131,0.6487935656836461,1,50.06896551724138,77.17241379310346,306214.0,0.017241379310344827
78,toon link,lucina,1,3,2,0,4:08,280,197,9514166,248,83,1.4213197969543148,1,67.74193548387096,47.66129032258064,0.0,0.020161290322580645
79,toon link,marth,1,3,2,0,4:33,289,270,10386939,273,19,1.0703703703703704,1,63.51648351648352,59.34065934065934,872773.0,0.018315018315018316
80,toon link,kirby,1,3,2,0,5:11,348,339,11182330,311,9,1.0265486725663717,1,67.13826366559485,65.40192926045016,795391.0,0.01607717041800643
